area_code,area_name,indicator,period,measure,unit,value
E05010857,Beauchief and Greenhill,Population aged 20-44 years,2017-06-30,Percentage,Persons,29.6
E05010858,Beighton,Population aged 20-44 years,2017-06-30,Percentage,Persons,29.1
E05010859,Birley,Population aged 20-44 years,2017-06-30,Percentage,Persons,29.5
E05010860,Broomhill and Sharrow Vale,Population aged 20-44 years,2017-06-30,Percentage,Persons,67.3
E05010861,Burngreave,Population aged 20-44 years,2017-06-30,Percentage,Persons,35
E05010862,City,Population aged 20-44 years,2017-06-30,Percentage,Persons,74.2
E05010863,Crookes and Crosspool,Population aged 20-44 years,2017-06-30,Percentage,Persons,47.2
E05010864,Darnall,Population aged 20-44 years,2017-06-30,Percentage,Persons,37.3
E05010865,Dore and Totley,Population aged 20-44 years,2017-06-30,Percentage,Persons,22
E05010866,East Ecclesfield,Population aged 20-44 years,2017-06-30,Percentage,Persons,27.9
E05010867,Ecclesall,Population aged 20-44 years,2017-06-30,Percentage,Persons,27.3
E05010868,Firth Park,Population aged 20-44 years,2017-06-30,Percentage,Persons,32.3
E05010869,Fulwood,Population aged 20-44 years,2017-06-30,Percentage,Persons,31
E05010870,Gleadless Valley,Population aged 20-44 years,2017-06-30,Percentage,Persons,37.2
E05010871,Graves Park,Population aged 20-44 years,2017-06-30,Percentage,Persons,31.9
E05010872,Hillsborough,Population aged 20-44 years,2017-06-30,Percentage,Persons,37.1
E05010873,Manor Castle,Population aged 20-44 years,2017-06-30,Percentage,Persons,41.6
E05010874,Mosborough,Population aged 20-44 years,2017-06-30,Percentage,Persons,30.1
E05010875,Nether Edge and Sharrow,Population aged 20-44 years,2017-06-30,Percentage,Persons,47.8
E05010876,Park and Arbourthorne,Population aged 20-44 years,2017-06-30,Percentage,Persons,35.2
E05010877,Richmond,Population aged 20-44 years,2017-06-30,Percentage,Persons,30.1
E05010878,Shiregreen and Brightside,Population aged 20-44 years,2017-06-30,Percentage,Persons,34.3
E05010879,Southey,Population aged 20-44 years,2017-06-30,Percentage,Persons,31.8
E05010880,Stannington,Population aged 20-44 years,2017-06-30,Percentage,Persons,26.1
E05010881,Stocksbridge and Upper Don,Population aged 20-44 years,2017-06-30,Percentage,Persons,28.1
E05010882,Walkley,Population aged 20-44 years,2017-06-30,Percentage,Persons,53.9
E05010883,West Ecclesfield,Population aged 20-44 years,2017-06-30,Percentage,Persons,26.2
E05010884,Woodhouse,Population aged 20-44 years,2017-06-30,Percentage,Persons,30
